first,last,instrument
Allan,Clarke,vocals
Benmont,Tench,keyboards
Bev,Bevan,drums
Bob,Dylan,guitar
Bruce,Palmer,bass
Chris,Dreja,guitar
Chris,Hillman,bass
David,Crosby,guitar
Dewey,Martin,drums
Dick,Heckstall-Smith,saxophone
Don,Rathbone,drums
Eric,Clapton,guitar
Eric,Haydock,bass
Gene,Clark,vocals
George,Harrison,guitar
Ginger,Baker,drums
Graham,Bond,vocals
Graham,Nash,guitar
Jack,Bruce,bass
Jack,Bruce,bass
Jeff,Lynne,vocals
Jim,McCarty,drums
Jim,McGuinn,guitar
John,Lennon,guitar
John,McLaughlin,guitar
Johnny,Cash,guitar
Keith,Relf,vocals
Kris,Kristofferson,guitar
Manfred,Mann,keyboards
Michael,Clarke,drums
Mike,Cambell,guitar
Mike,Hugg,drums
Neil,Young,guitar
Paul,Jones,vocals
Paul,McCartney,bass
Paul,Samwell-Smith,bass
Richie,Furay,guitar
Ringo,Starr,drums
Ron,Blair,bass
Roy,Orbison,guitar
Roy,Wood,vocals
Stan,Lynch,drums
Stephen,Stills,guitar
Tom,McGuiness,guitar
Tom,Petty,vocals
Vic,Steele,guitar
Waylon,Jennings,guitar
Willie,Nelson,guitar
